sample,read_type,count
e00324-B,denoisedR,24100
e00324-B,merged,24019
e00324-B,nonchim,23043
e00324-C,input,25022
e00324-C,filtered,24999
e00324-C,denoisedF,24977
e00324-C,denoisedR,24934
e00324-C,merged,24715
e00324-C,nonchim,23969
e00325-A,input,22152
e00325-A,filtered,22109
e00325-A,denoisedF,22102
e00325-A,denoisedR,21919
e00325-A,merged,21866
e00325-A,nonchim,20795
e00325-B,input,14733
e00325-B,filtered,14713
e00325-B,denoisedF,14700
e00325-B,denoisedR,14681
e00325-B,merged,14655
e00325-B,nonchim,14567
e00325-C,input,30144
e00325-C,filtered,30085
e00325-C,denoisedF,30060
e00325-C,denoisedR,29844
e00325-C,merged,11592
e00325-C,nonchim,11499
e00326-A,input,2171
e00326-A,filtered,2169
e00326-A,denoisedF,2161
e00326-A,denoisedR,2162
e00326-A,merged,2099
e00326-A,nonchim,2099
e00326-B,input,1179
e00326-B,filtered,1179
e00326-B,denoisedF,1178
e00326-B,denoisedR,1176
e00326-B,merged,1175
e00326-B,nonchim,1175
e00326-C,input,2
e00326-C,filtered,2
e00326-C,denoisedF,1
e00326-C,denoisedR,2
e00326-C,merged,1
e00326-C,nonchim,1
e00327-A,input,767
e00327-A,filtered,765
e00327-A,denoisedF,765
e00327-A,denoisedR,765
e00327-A,merged,765
e00327-A,nonchim,765
e00327-B,input,16
e00327-B,filtered,16
e00327-B,denoisedF,9
e00327-B,denoisedR,11
e00327-B,merged,7
e00327-B,nonchim,7
e00327-C,input,30606
e00327-C,filtered,30479
e00327-C,denoisedF,30455
e00327-C,denoisedR,30441
e00327-C,merged,0
e00327-C,nonchim,0
e00328-A,input,4540
e00328-A,filtered,4530
e00328-A,denoisedF,4524
e00328-A,denoisedR,4524
e00328-A,merged,1004
e00328-A,nonchim,1001
e00328-B,input,19029
e00328-B,filtered,18965
e00328-B,denoisedF,18957
e00328-B,denoisedR,18946
e00328-B,merged,1381
e00328-B,nonchim,1381
e00328-C,input,2776
e00328-C,filtered,2774
e00328-C,denoisedF,2774
e00328-C,denoisedR,2767
e00328-C,merged,2767
e00328-C,nonchim,2767
e00329-A,input,2
e00329-A,filtered,2
e00329-A,denoisedF,2
e00329-A,denoisedR,2
e00329-A,merged,1
e00329-A,nonchim,1
e00329-B,input,6131
e00329-B,filtered,6122
e00329-B,denoisedF,6119
e00329-B,denoisedR,6118
e00329-B,merged,6115
e00329-B,nonchim,6115
e00329-C,input,1
e00329-C,filtered,1
e00329-C,denoisedF,1
e00329-C,denoisedR,1
e00329-C,merged,0
e00329-C,nonchim,0
e00330-A,input,9363
e00330-A,filtered,9342
e00330-A,denoisedF,9319
e00330-A,denoisedR,9294
e00330-A,merged,9245
e00330-A,nonchim,8745
e00330-B,input,49547
e00330-B,filtered,49347
e00330-B,denoisedF,49243
e00330-B,denoisedR,49201
e00330-B,merged,19458
e00330-B,nonchim,18577
e00330-C,input,21320
e00330-C,filtered,21291
e00330-C,denoisedF,21234
e00330-C,denoisedR,21213
e00330-C,merged,21145
e00330-C,nonchim,20421
e00331-A,input,23293
e00331-A,filtered,23216
e00331-A,denoisedF,23201
e00331-A,denoisedR,23186
e00331-A,merged,4146
e00331-A,nonchim,4139
e00331-B,input,69753
e00331-B,filtered,69547
e00331-B,denoisedF,69504
e00331-B,denoisedR,69434
e00331-B,merged,12632
e00331-B,nonchim,12416
e00331-C,input,24870
e00331-C,filtered,24842
e00331-C,denoisedF,24815
e00331-C,denoisedR,24761
e00331-C,merged,24702
e00331-C,nonchim,22710
e00332-C,input,3
e00332-C,filtered,3
e00332-C,denoisedF,1
e00332-C,denoisedR,2
e00332-C,merged,0
e00332-C,nonchim,0
e00333-A,input,4320
e00333-A,filtered,4301
e00333-A,denoisedF,4298
e00333-A,denoisedR,4288
e00333-A,merged,4286
e00333-A,nonchim,4272
e00333-B,input,19
e00333-B,filtered,18
e00333-B,denoisedF,16
e00333-B,denoisedR,15
e00333-B,merged,15
e00333-B,nonchim,15
e00333-C,input,5
e00333-C,filtered,5
e00333-C,denoisedF,4
e00333-C,denoisedR,3
e00333-C,merged,3
e00333-C,nonchim,3
e00334-A,input,17537
e00334-A,filtered,17484
e00334-A,denoisedF,17462
e00334-A,denoisedR,17443
e00334-A,merged,5501
e00334-A,nonchim,5099
e00334-B,input,17026
e00334-B,filtered,16997
e00334-B,denoisedF,16980
e00334-B,denoisedR,16971
e00334-B,merged,16894
e00334-B,nonchim,16511
e00334-C,input,13832
e00334-C,filtered,13805
e00334-C,denoisedF,13798
e00334-C,denoisedR,13780
e00334-C,merged,13766
e00334-C,nonchim,12560
e00335-A,input,6575
e00335-A,filtered,6572
e00335-A,denoisedF,6559
e00335-A,denoisedR,6557
e00335-A,merged,6442
e00335-A,nonchim,5863
e00335-B,input,11302
e00335-B,filtered,11279
e00335-B,denoisedF,11274
e00335-B,denoisedR,11264
e00335-B,merged,11218
e00335-B,nonchim,11126
e00335-C,input,23097
e00335-C,filtered,23068
e00335-C,denoisedF,23048
e00335-C,denoisedR,23019
e00335-C,merged,22861
e00335-C,nonchim,20091
e00336-A,input,22420
e00336-A,filtered,22368
e00336-A,denoisedF,22361
e00336-A,denoisedR,22349
e00336-A,merged,96
e00336-A,nonchim,96
e00336-B,input,10978
e00336-B,filtered,10931
e00336-B,denoisedF,10925
e00336-B,denoisedR,10917
e00336-B,merged,2962
e00336-B,nonchim,2962
e00336-C,input,2
e00336-C,filtered,2
e00336-C,denoisedF,1
e00336-C,denoisedR,1
e00336-C,merged,0
e00336-C,nonchim,0
e00337-A,input,729
e00337-A,filtered,727
e00337-A,denoisedF,725
e00337-A,denoisedR,726
e00337-A,merged,724
e00337-A,nonchim,724
e00337-B,input,40538
e00337-B,filtered,40395
e00337-B,denoisedF,40372
e00337-B,denoisedR,40348
e00337-B,merged,2
e00337-B,nonchim,2
e00337-C,input,5
e00337-C,filtered,4
e00337-C,denoisedF,1
e00337-C,denoisedR,3
e00337-C,merged,1
e00337-C,nonchim,1
e00338-A,input,2895
e00338-A,filtered,2891
e00338-A,denoisedF,2889
e00338-A,denoisedR,2885
e00338-A,merged,2884
e00338-A,nonchim,2884
e00338-B,input,3645
e00338-B,filtered,3629
e00338-B,denoisedF,3625
e00338-B,denoisedR,3623
e00338-B,merged,3
e00338-B,nonchim,3
e00338-C,input,244
